,,,,,,,,,,,,,,,
编码,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,外径/Φ,单位,单重,单重单位,备注
SPC00172,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1"x3/4",,个,0.28,Kg,
SPC00173,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1"x3/4",,个,0.48,Kg,
SPC00174,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1"x3/4",,个,,Kg,
SPC00175,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1"x3/4",,个,0.28,Kg,
SPC00176,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1"x3/4",,个,0.28,Kg,
SPC00177,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1"x3/4",,个,0.28,Kg,
SPC00178,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1"x3/4",,个,0.3,Kg,
SPC00179,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1"x3/4",,个,0.3,Kg,
SPC00180,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1"x3/4",,个,0.3,Kg,
SPC00194,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/4"x1/4",,个,,Kg,
SPC00199,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/4"x1/4",,个,,Kg,
SPC00202,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/4"x1/4",,个,,Kg,
SPC00205,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/4"x3/8",,个,,Kg,
SPC00210,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/4"x3/8",,个,,Kg,
SPC00213,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/4"x3/8",,个,,Kg,
SPC00216,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/4"x1/2",,个,,Kg,
SPC00221,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/4"x1/2",,个,,Kg,
SPC00224,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/4"x1/2",,个,,Kg,
SPC00226,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/4"x3/4",,个,,Kg,
SPC00227,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/4"x3/4",,个,,Kg,
SPC00228,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/4"x3/4",,个,,Kg,
SPC00229,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1-1/4"x3/4",,个,,Kg,
SPC00230,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/4"x3/4",,个,,Kg,
SPC00231,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/4"x3/4",,个,,Kg,
SPC00232,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/4"x3/4",,个,,Kg,
SPC00233,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1-1/4"x3/4",,个,,Kg,
SPC00234,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1-1/4"x3/4",,个,,Kg,
SPC00235,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/4"x3/4",,个,,Kg,
SPC00236,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/4"x1",,个,,Kg,
SPC00237,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/4"x1",,个,,Kg,
SPC00238,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/4"x1",,个,,Kg,
SPC00239,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/4"x1",,个,,Kg,
SPC00240,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1-1/4"x1",,个,,Kg,
SPC00241,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/4"x1",,个,,Kg,
SPC00242,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/4"x1",,个,,Kg,
SPC00243,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/4"x1",,个,,Kg,
SPC00244,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1-1/4"x1",,个,,Kg,
SPC00245,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1-1/4"x1",,个,,Kg,
SPC00246,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/4"x1",,个,,Kg,
SPC00260,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/2"x1/4",,个,,Kg,
SPC00265,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2"x1/4",,个,,Kg,
SPC00268,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2"x1/4",,个,,Kg,
SPC00271,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/2"x3/8",,个,,Kg,
SPC00276,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2"x3/8",,个,,Kg,
SPC00279,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2"x3/8",,个,,Kg,
SPC00280,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x1/2",,个,,Kg,
SPC00281,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x1/2",,个,,Kg,
SPC00282,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/2"x1/2",,个,,Kg,
SPC00283,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x1/2",,个,,Kg,
SPC00284,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1-1/2"x1/2",,个,,Kg,
SPC00285,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/2"x1/2",,个,0.52,Kg,
SPC00286,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/2"x1/2",,个,0.52,Kg,
SPC00287,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2"x1/2",,个,,Kg,
SPC00288,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1-1/2"x1/2",,个,,Kg,
SPC00289,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1-1/2"x1/2",,个,0.5,Kg,
SPC00290,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2"x1/2",,个,,Kg,
SPC00291,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x3/4",,个,,Kg,
SPC00292,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x3/4",,个,0.52,Kg,
SPC00293,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,1-1/2"x3/4",,个,,Kg,
SPC00294,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x3/4",,个,,Kg,
SPC00295,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,1-1/2"x3/4",,个,,Kg,
SPC00296,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/2"x3/4",,个,,Kg,
SPC00297,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,1-1/2"x3/4",,个,,Kg,
SPC00298,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2"x3/4",,个,0.52,Kg,
SPC00299,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1-1/2"x3/4",,个,,Kg,
SPC00300,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1-1/2"x3/4",,个,0.5,Kg,
SPC00301,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2"x3/4",,个,0.6,Kg,
SPC00302,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,1-1/2"x1",,个,,Kg,
