noun_hash,noun_name,attr_hashes,attr_names,count
0x000001EB,,0x00224F70;0x00224F75, LFFC;ELFFC,2
0x000008E6,,0x00225580,MOHFC,1
0x0000003B,,0x00225F5D;0x00225F64, ALFC;GALFC,2
0x0000012F,,0x00225FE4;0x00225FE5, FLFC;AFLFC,2
0x00000CFF,,0x0022612B,CRLFC,1
0x000008B4,,0x00226130,HRLFC,1
0x0000112D,,0x0022613C,TRLFC,1
0x000003D8,,0x0022615E, TLFC,1
0x00000483,,0x0022615F,ATLFC,1
0x00000490,,0x00226160,BTLFC,1
0x0000049C,,0x00226161,CTLFC,1
0x000004CA,,0x00226162,DTLFC,1
0x00000238,,0x00226653, MNFC,1
0x0000027D,,0x00226947;0x0022695B, NOFC;TNOFC,2
0x00000CD9,,0x0022695B,TNOFC,1
0x00000292,,0x002278E3;0x00227A5D;0x00227A66,  UFC; NUFC;INUFC,3
0x0000100C,,0x0023106A,SETHC,1
0x00001044,,0x0023106F,XETHC,1
0x0000021F,,0x00232698;0x002327F7;0x002327FC,  AIC; MAIC;EMAIC,3
0x00000DDE,,0x0023276D,XGAIC,1
0x00000DE6,,0x0023276E,YGAIC,1
0x0000097A,,0x0023287E;0x00232883, RAIC;ERAIC,2
0x000000DA,,0x0023494B;0x00234959, EMIC;NEMIC,2
0x00000F38,,0x00234A83,OPMIC,1
0x0000104B,,0x00234AF8,XTMIC,1
0x00000E48,,0x00234DBE,ETNIC,1
0x00000B24,,0x00234DC1;0x00234DC1,HTNIC;HTNIC,2
0x0000001A,,0x00235701;0x00235788;0x0023578B,  RIC; ERIC;CERIC,3
0x00000863,,0x00235761,OCRIC,1
0x0000069A,,0x0023579E,VERIC,1
0x000005EC,,0x00235999,PXRIC,1
0x000009E2,,0x00235A34,ICSIC,1
0x00000302,,0x00235B8A;0x00235B96, PSIC;LPSIC,2
