,编码,类型,英文品名,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级 ,公称直径,外径/Φ,单位,单重,单重单位,备注,
,SPC00176,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1""x3/4""",,个,0.28 ,Kg,,
,SPC00177,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1""x3/4""",,个,0.28 ,Kg,,
,SPC00178,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"1""x3/4""",,个,0.30 ,Kg,,
,SPC00179,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"1""x3/4""",,个,0.30 ,Kg,,
,SPC00180,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1""x3/4""",,个,0.30 ,Kg,,
,SPC00194,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1/4""",,个,,Kg,,
,SPC00199,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1/4""",,个,,Kg,,
,SPC00202,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/4""x1/4""",,个,,Kg,,
,SPC00205,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/8""",,个,,Kg,,
,SPC00210,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/8""",,个,,Kg,,
,SPC00213,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/4""x3/8""",,个,,Kg,,
,SPC00216,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1/2""",,个,,Kg,,
,SPC00221,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1/2""",,个,,Kg,,
,SPC00224,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/4""x1/2""",,个,,Kg,,
,SPC00226,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,Kg,,
,SPC00227,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,Kg,,
,SPC00228,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,Kg,,
,SPC00229,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,Kg,,
,SPC00230,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/4""",,个,,Kg,,
,SPC00231,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/4""",,个,,Kg,,
,SPC00232,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/4""",,个,,Kg,,
,SPC00233,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"1-1/4""x3/4""",,个,,Kg,,
,SPC00234,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"1-1/4""x3/4""",,个,,Kg,,
,SPC00235,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1-1/4""x3/4""",,个,,Kg,,
,SPC00236,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,Kg,,
,SPC00237,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,Kg,,
,SPC00238,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,Kg,,
,SPC00239,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,Kg,,
,SPC00240,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,Kg,,
,SPC00241,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1""",,个,,Kg,,
,SPC00242,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1""",,个,,Kg,,
,SPC00243,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1""",,个,,Kg,,
